WL #,May 31 - June 3,June 3 - 6,June 7-13,June 14-20,June 21-27,June 28-July 4,July 5-11,July 12-18,July 19-25,July 26-Aug 1,Aug 2-8,Aug 9-15
722,,,"4PC,5PC",,,,,"4PC,5PC",,,"4PC,5PC",
723,,,"6PC,4PC","6PC,4PC",,,,,,,,
724,,,"6PC,5PC","6PC,5PC",,"6PC,5PC",,,,,,
725,,,,,,,,,,"3PC,3PC","3PC,3PC","3PC,3PC"
727,,,"3PC,3PC",,,,,,,,,
728,,,,"5PC,6PC",,,"5PC,6PC",,,,,
729,,,,,,,,,,"6PC,6PC",,
730,,,,"6PC,5PC",,,,,,"6PC,5PC","6PC,5PC",
731,,,"6PC,5PC","6PC,5PC",,"6PC,5PC",,,,,,
732,,,,,,,,,,"3PC,6PC","3PC,6PC",
733,,,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC"
735,"3PC,3PC",,,"3PC,3PC",,"3PC,3PC",,,,,,
736,,,,"4PC,4PC",,,,,,,,
737,,,,"5PC,6PC",,"5PC,6PC",,,,,,
739,,,"4PC,2PC","4PC,2PC",,"4PC,2PC",,,,,,
741,,,,,,,,"4PC,6PC",,,,
742,,,,"6PC,6PC",,,,,,,,
743,,,"3PC,3PC","3PC,3PC",,,,,,,,
744,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",,,,
745,,,"4PC,6PTS","4PC,6PTS",,"4PC,6PTS",,,,,,
746,,,,,,,,,,,"4PC,5PC","4PC,5PC"
747,,,,"6PTS,6PC",,"6PTS,6PC",,,,,,
749,,,,,,,,,,,"4PC,4PC","4PC,4PC"
750,,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",
753,,,,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC"
754,,,,,,,,,,"3PC,3PC","3PC,3PC","3PC,3PC"
756,,,,,,,,,,,"6PC,5PC","6PC,5PC"
757,,,,,,,,"5PC,6PC","5PC,6PC","5PC,6PC",,
758,,,"6PC,6PC","6PC,6PC",,,,,,,,
759,,,"3PC,4PC","3PC,4PC",,,,,,,,
760,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",,,,
761,,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",
762,,,,"5PC,6PC",,,"5PC,6PC",,,,,
763,,,,"6PC,5PC",,"6PC,5PC","6PC,5PC",,,,,
766,,,"5PC,6PC","5PC,6PC",,,,,,,,
767,,,"4PC,6PC","4PC,6PC",,"4PC,6PC",,,,,,
768,,,"3PC,4PC","3PC,4PC",,,,,,,,
769,,,,,,"6PTS,6PTS",,,,,,
770,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",,,
771,,,,"3PC,3PC",,"3PC,3PC","3PC,3PC",,,,,
772,,,,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC"
773,,,,,,,,,,,"4PC,5PC","4PC,5PC"
774,,,,,,"6PC,6PC",,"6PC,6PC",,,"6PC,6PC",
775,,,,,,,,,,,,"5PC,5PC"
776,,,"4PC,6PC",,,,,,"4PC,6PC","4PC,6PC",,
779,,,"4PC,3PC","4PC,3PC",,,,"4PC,3PC",,,,
780,,"4PC,4PC","4PC,4PC",,,,,,,,,"4PC,4PC"
781,,,"5PC,3PC","5PC,3PC",,,,,,,"5PC,3PC",
782,,,"4PC,5PC","4PC,5PC",,,,,"4PC,5PC",,,
783,,,,,,"4PC,5PC","4PC,5PC",,,,,
784,,,,,,,,"6PC,4PC","6PC,4PC","6PC,4PC",,
785,,,"4PC,4PC","4PC,4PC",,"4PC,4PC",,,,,,
787,,,,,,,,,,"5PC,6PC","5PC,6PC","5PC,6PC"
788,,,,"6PC,6PC",,,,"6PC,6PC","6PC,6PC",,,
790,,,,"5PC,6PC",,,,,,,,
791,,,"6PC,6PC",,,,,,,,,
793,,"3PC,4PC","3PC,4PC","3PC,4PC",,,,,,,,
794,,,,,,"6PC,5PC",,,,"6PC,5PC",,"6PC,5PC"
796,,,,,,"4PC,4PC",,"4PC,4PC",,,,
797,,,,,,,"6PC,5PC",,,,,
798,,,,"6PC,5PC",,"6PC,5PC",,,"6PC,5PC",,,
799,,,,,,"4PC,3PC","4PC,3PC",,,"4PC,3PC",,
800,,,,"4PC,6PC",,"4PC,6PC",,,,,,"4PC,6PC"
801,,,,,,"4PC,3PC","4PC,3PC","4PC,3PC",,,,
803,,,"6PC,5PC","6PC,5PC",,,,,,,"6PC,5PC",
804,,,,,,"3PC,4PC",,,,,,"3PC,4PC"
805,,,,"6PC,5PC",,,,,,,,
807,,,"3PC,4PC",,,,,,,,"3PC,4PC","3PC,4PC"
809,,,"6PC,4PC",,,,,,,,"6PC,4PC","6PC,4PC"
810,,,"3PC,6PC","3PC,6PC",,,"3PC,6PC",,,,,
811,,,,,,,,"6PC,6PC","6PC,6PC",,,
812,,,,,,,,,,,,"6PC,4PC"
813,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",,,,
814,,,"3PC,3PC",,,,,"3PC,3PC",,"3PC,3PC",,
815,,"4PC,4PC","4PC,4PC","4PC,4PC",,,,,,,,
816,,,,"6PTS,4PC",,,,,,,,
817,"2PC,3PC","2PC,3PC",,,,,,,,,,
818,,,,,,,,,,"3PC,3PC","3PC,3PC","3PC,3PC"
819,,,"6PTS,6PTS","6PTS,6PTS",,,,,,,,
820,,,,,,"6PC,4PC",,"6PC,4PC",,,"6PC,4PC",
821,,,,,,,,,,"5PC,6PC","5PC,6PC","5PC,6PC"
823,"2PC,3PC",,,"2PC,3PC",,"2PC,3PC",,,,,,
824,,,,,,,,,,,"6PC,3PC","6PC,3PC"
825,,,,,,,,"6PC,2PC","6PC,2PC",,,
826,,"3PC,4PC","3PC,4PC","3PC,4PC",,,,,,,,
827,,,,,,,,,,,"4PC,6PC","4PC,6PC"
829,,,"4PC,4PC",,,,,,,,"4PC,4PC","4PC,4PC"
830,,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC"
832,,,,,,,,,"3PC,4PC","3PC,4PC","3PC,4PC",
833,,,,"4PC,6PC",,"4PC,6PC",,,,,,
834,,,"5PC,6PC",,,,"5PC,6PC",,,,,"5PC,6PC"
835,,,,,,,,,,"4PC,3PC","4PC,3PC",
836,,,,,,"5PC,4PC","5PC,4PC",,,,"5PC,4PC",
837,,,,"4PC,3PC","4PC,3PC","4PC,3PC",,,,,,
838,,,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC"
839,,,,"4PC,6PC",,"4PC,6PC","4PC,6PC",,,,,
840,,,,"4PC,4PC",,"4PC,4PC","4PC,4PC",,,,,
842,,,"4PC,4PC",,,,,,,,,
843,,,"3PC,4PC","3PC,4PC",,"3PC,4PC",,,,,,
844,,,,"6PC,5PC",,"6PC,5PC","6PC,5PC",,,,,
847,,,"3PC,4PC","3PC,4PC",,,,,,,,
848,,,,,,,,,,,"6PC,5PC","6PC,5PC"
850,,,"3PC,4PC",,,,"3PC,4PC",,,,,"3PC,4PC"
851,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",,,,
853,,,,,,"4PC,3PC","4PC,3PC",,,"4PC,3PC",,
854,,,,,,"4PC,4PC",,,"4PC,4PC","4PC,4PC",,
856,,,"4PC,4PC","4PC,4PC",,"4PC,4PC",,,,,,
858,,,,,,,,,"4PC,4PC",,,
859,,,,"3PC,4PC","3PC,4PC",,,,,,,
861,,,,,,"5PC,6PC",,,,"5PC,6PC","5PC,6PC",
862,,,,,,"6PC,4PC","6PC,4PC",,,,,
863,,,,,,,"6PC,3PC",,,,"6PC,3PC",
864,,,,"5PC,6PC",,,"5PC,6PC",,,,,
865,,,"6PC,4PC","6PC,4PC",,,,,,"6PC,4PC",,
866,,,"6PC,5PC","6PC,5PC",,"6PC,5PC",,,,,,
867,"2PC,2PC","2PC,2PC","2PC,2PC",,,,,,,,,
868,,,"2PC,4PC","2PC,4PC",,"2PC,4PC",,,,,,
870,,,"4PC,4PC","4PC,4PC",,,,,,,,
871,,,,,,,"4PC,6PC","4PC,6PC",,,"4PC,6PC",
873,,,,"6PC,4PC",,,,"6PC,4PC",,,,
875,,,,,,,"6PC,4PC",,,"6PC,4PC","6PC,4PC",
877,,,"4PC,5PC","4PC,5PC",,,"4PC,5PC",,,,,
878,,,,,,,,,,"4PC,5PC",,
879,,,,,,,,,,"5PC,4PC","5PC,4PC","5PC,4PC"
880,,,,,,"6PC,5PC",,,,"6PC,5PC","6PC,5PC",
881,,"4PC,4PC","4PC,4PC",,,,,,,,,
882,,,"4PC,4PC",,,,,"4PC,4PC",,,,
883,,,,"4PC,6PTS",,"4PC,6PTS",,,,,"4PC,6PTS",
885,,,,"6PC,5PC",,,,,"6PC,5PC",,,"6PC,5PC"
886,,,"4PC,5PC","4PC,5PC",,"4PC,5PC",,,,,,
887,,,"3PC,3PC",,,,,,,,"3PC,3PC","3PC,3PC"
888,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",,,,
889,,,"6PTS,6PTS",,,"6PTS,6PTS",,,,,,
891,,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC"
892,,"3PC,2PC","3PC,2PC","3PC,2PC",,,,,,,,
893,,,"3PC,4PC","3PC,4PC",,,,,,,,
894,,,,"3PC,3PC","3PC,3PC","3PC,3PC",,,,,,
896,,,"5PC,6PC","5PC,6PC",,"5PC,6PC",,,,,,
897,,,"6PC,4PC","6PC,4PC",,"6PC,4PC",,,,,,
898,,,,,,,,"4PC,2PC","4PC,2PC","4PC,2PC",,
900,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",,,
901,,,,,,,,,"4PC,5PC","4PC,5PC",,
902,,,,,,,,,"2PC,3PC","2PC,3PC","2PC,3PC",
904,,,"6PC,6PC","6PC,6PC",,,,"6PC,6PC",,,,
906,,,,,,,"6PC,5PC",,,,,
907,,"4PC,4PC",,,,"4PC,4PC",,"4PC,4PC",,,,
909,,,,"6PC,5PC",,"6PC,5PC","6PC,5PC",,,,,
911,,,,,,,,,"6PC,6PC",,,
912,,,,,,,,,,"6PC,6PC",,
913,,,,,,"4PC,5PC",,,"4PC,5PC","4PC,5PC",,
914,,,,"6PC,6PC",,,,,"6PC,6PC","6PC,6PC",,
915,,,,,,,,,,,"4PC,5PC","4PC,5PC"
916,,,"6PC,5PC","6PC,5PC",,,,,,,,"6PC,5PC"
917,,,"4PC,5PC","4PC,5PC",,"4PC,5PC",,,,,,
918,,,"4PC,5PC",,,,,,,,,
919,,,"6PC,4PC","6PC,4PC",,,,"6PC,4PC",,,,
920,,,"6PC,6PTS","6PC,6PTS",,,,,,"6PC,6PTS",,
922,,,,,,"4PC,4PC",,,"4PC,4PC",,,"4PC,4PC"
924,,,,"6PC,6PC",,"6PC,6PC",,"6PC,6PC",,,,
925,,,,,,,,,,,"4PC,4PC","4PC,4PC"
926,,,,,,"3PC,3PC","3PC,3PC",,,"3PC,3PC",,
927,,,"3PC,4PC",,,,,,,,,
928,,"6PC,6PC","6PC,6PC","6PC,6PC",,,,,,,,
929,,,,,,,,,"6PTS,4PC","6PTS,4PC","6PTS,4PC",
930,,,,"6PC,5PC",,,,,,,,
931,,,,,,,,,,"6PC,5PC",,
932,,,"6PC,5PC",,,"6PC,5PC",,,,,"6PC,5PC",
933,,"3PC,3PC","3PC,3PC",,,,,"3PC,3PC",,,,
934,,,"4PC,6PC",,,,"4PC,6PC","4PC,6PC",,,,
935,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",,,,
936,,,,,,,,,,"4PC,3PC","4PC,3PC","4PC,3PC"
937,,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",,
938,,,,,,,,,"3PC,4PC","3PC,4PC",,"3PC,4PC"
939,,,,"4PC,4PC",,"4PC,4PC",,,,,,
940,,,,,,"4PC,3PC",,,,"4PC,3PC","4PC,3PC",
942,,,"4PC,3PC","4PC,3PC",,"4PC,3PC",,,,,,
943,,,,,,,,,,,"4PC,6PTS",
944,,,,,,,"6PC,5PC","6PC,5PC",,,,
945,,,,,,,,,,"5PC,5PC","5PC,5PC",
946,,,,,,,,,,"3PC,4PC","3PC,4PC","3PC,4PC"
947,,,,,,,,,"6PC,4PC",,"6PC,4PC","6PC,4PC"
948,,,,,,,,,,"6PC,5PC",,
949,,,"4PC,4PC",,,,,,"4PC,4PC","4PC,4PC",,
950,,,"5PC,6PC","5PC,6PC",,,,,,"5PC,6PC",,
951,,,"2PC,2PC","2PC,2PC",,,,,,,,
954,,,"4PC,3PC","4PC,3PC",,"4PC,3PC",,,,,,
955,,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",
956,,,,,,"4PC,4PC","4PC,4PC",,,,,"4PC,4PC"
958,,,"6PTS,6PTS","6PTS,6PTS",,,,,,,"6PTS,6PTS",
959,,,"3PC,3PC",,,,,,,"3PC,3PC",,"3PC,3PC"
960,,,"6PC,5PC",,,,"6PC,5PC",,,,,
961,,"3PC,2PC",,"3PC,2PC",,,,,,,,
962,,,,,,,"4PC,6PC","4PC,6PC",,"4PC,6PC",,
963,,,,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC"
967,,,,,,"4PC,2PC",,,,"4PC,2PC",,"4PC,2PC"
968,,,,,,,,,,"4PC,2PC","4PC,2PC","4PC,2PC"
969,,,,,,,,,,"6PC,6PTS","6PC,6PTS",
970,,,"6PC,5PC","6PC,5PC",,"6PC,5PC",,,,,,
972,,,,,,,,,,"3PC,2PC","3PC,2PC","3PC,2PC"
973,,,,"3PC,3PC","3PC,3PC",,,,,,"3PC,3PC",
974,,,,,,,,,,"4PC,6PC",,
975,,,,,,,,,"6PC,4PC",,"6PC,4PC","6PC,4PC"
976,,,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC"
977,,,,,,,,,"6PC,4PC","6PC,4PC",,
978,,,,,,,"6PC,4PC",,,,"6PC,4PC","6PC,4PC"
979,,,,,,,,"3PC,3PC","3PC,3PC",,,
980,,,"4PC,3PC","4PC,3PC",,,,,,,"4PC,3PC",
981,,,,,,,,,,,"4PC,4PC","4PC,4PC"
982,,,"4PC,3PC","4PC,3PC","4PC,3PC",,,,,,,
983,,,,,,,,"3PC,6PC",,,"3PC,6PC","3PC,6PC"
985,,,,,,,,,,,"2PC,2PC","2PC,2PC"
986,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",
987,,,,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC"
988,,,,,"4PC,5PC",,,,,,,
989,,,,"4PC,6PC",,"4PC,6PC",,,,,,"4PC,6PC"
992,,,,,,,,,,,"6PTS,6PC",
994,,,"4PC,6PC","4PC,6PC",,,"4PC,6PC",,,,,
995,,,,,,,,,,,"4PC,3PC",
996,,,,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC"
999,,,"3PC,3PC","3PC,3PC",,"3PC,3PC",,,,,,
1000,,,,,,,,,,"6PC,6PTS",,
1001,,,"4PC,6PC",,,,,,,"4PC,6PC","4PC,6PC",
1002,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",,,,
1004,,,,,,,,,"6PC,4PC",,,
1006,,,,,,,,,"4PC,6PC",,,
1007,,,,,,,,,,"2PC,2PC",,
1008,,,,,,"6PC,4PC","6PC,4PC",,,"6PC,4PC",,
1009,,"2PC,2PC",,,,,,,,,,
1010,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",,,
1011,,,,,,,,"5PC,4PC","5PC,4PC","5PC,4PC",,
1012,,,"4PC,6PTS","4PC,6PTS",,,,,,,"4PC,6PTS",
1013,,,,"4PC,4PC",,,,"4PC,4PC","4PC,4PC",,,
1014,,,,"3PC,4PC","3PC,4PC",,,"3PC,4PC",,,,
1015,,,,,,,,,,,"4PC,4PC","4PC,4PC"
1016,,,,"2PC,3PC",,,"2PC,3PC","2PC,3PC",,,,
1017,,,,,,,,"2PC,3PC",,,,
1019,,,"5PC,6PC","5PC,6PC",,,,,,,,
1020,,,"6PC,5PC","6PC,5PC",,,,,,,,
1021,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",
1022,,,,,,"6PC,6PC",,,,,,
1023,,,,,"6PC,5PC",,,,,,"6PC,5PC","6PC,5PC"
1024,,,,,,,,,"2PC,3PC","2PC,3PC","2PC,3PC",
1025,,,,,"4PC,5PC",,,,,,,
1026,,,,,,,,,,"5PC,5PC",,"5PC,5PC"
1027,,,,,,"2PC,4PC",,,,,"2PC,4PC","2PC,4PC"
1028,,,,,,"6PTS,6PTS","6PTS,6PTS",,,"6PTS,6PTS",,
1029,,,,,,,"2PC,3PC","2PC,3PC","2PC,3PC",,,
1030,,,,,,"6PTS,6PTS","6PTS,6PTS",,,"6PTS,6PTS",,
1031,,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC"
1032,,,,,,,"6PC,6PC","6PC,6PC","6PC,6PC",,,
1033,,,,,,,"4PC,3PC",,"4PC,3PC","4PC,3PC",,
1034,,,,"3PC,3PC","3PC,3PC","3PC,3PC",,,,,,
1035,"4PC,3PC",,"4PC,3PC","4PC,3PC",,,,,,,,
1036,,,,"6PTS,6PTS",,"6PTS,6PTS","6PTS,6PTS",,,,,
1037,,,,"6PC,6PC","6PC,6PC",,,,,,,"6PC,6PC"
1038,,"2PC,3PC","2PC,3PC","2PC,3PC",,,,,,,,
1039,,,,,,"6PC,5PC","6PC,5PC",,,"6PC,5PC",,
1040,,,,,,,,,,"4PC,6PC",,
1041,,,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC",
1042,,,"4PC,6PC","4PC,6PC",,,,,,,"4PC,6PC",
1043,,,,"6PC,4PC",,,,,,,"6PC,4PC","6PC,4PC"
1044,"2PC,3PC","2PC,3PC",,"2PC,3PC",,,,,,,,
1045,,,,"6PTS,6PTS",,,,,,,,
1046,,,,,,"4PC,3PC","4PC,3PC","4PC,3PC",,,,
1047,,"2PC,3PC","2PC,3PC","2PC,3PC",,,,,,,,
1048,,,,,,"5PC,6PC",,,,,,
1049,,,"2PC,3PC","2PC,3PC",,,,"2PC,3PC",,,,
1050,,,"6PC,6PTS",,,"6PC,6PTS","6PC,6PTS",,,,,
1051,"2PC,2PC","2PC,2PC",,"2PC,2PC",,,,,,,,
1052,,"4PC,4PC",,,,,,,,,,
1053,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",,
1054,,,,,,"6PC,6PC",,,,,,
1055,,,,,,,,,"6PTS,6PTS",,,
1056,,,,,,,"3PC,4PC","3PC,4PC","3PC,4PC",,,
1057,,,,,,"6PTS,6PTS",,,,"6PTS,6PTS","6PTS,6PTS",
1058,,,,,,,"6PC,5PC",,"6PC,5PC","6PC,5PC",,
1059,,,,,,,,,,"5PC,6PC",,
1060,,,,,,,"5PC,4PC",,"5PC,4PC","5PC,4PC",,
1061,,,,,,,,,"6PTS,6PTS",,,
1062,,,,"5PC,6PTS",,,,,,"5PC,6PTS","5PC,6PTS",
1063,,"3PC,4PC","3PC,4PC",,,,,,,"3PC,4PC",,
1064,,,"2PC,2PC",,,,,,,,,"2PC,2PC"
1065,,,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC"
1066,,,,,,,,"4PC,3PC","4PC,3PC","4PC,3PC",,
1067,,"2PC,3PC","2PC,3PC","2PC,3PC",,,,,,,,
1067,,"2PC,3PC","2PC,3PC","2PC,3PC",,,,,,,,
